Date,Close,Volume,Day of week,Month,Price-Delta%-1,Price-Delta%-3,Price-Delta%-7,Price-Delta%-30,Volume-Delta-1,Volume-Delta-3,Volume-Delta-7,RSI-14,RSI-Delta-1,RSI-Delta-3,RSI-Delta-7,SMA-15,SMA-50,SMA-Diff,SMA-Diff-Delta-1,SMA-Diff-Delta-3,SMA-Diff-Delta-7,SMA-10,EMA-10,EMA-Diff,EMA-Diff-Delta-1,EMA-Diff-Delta-3,EMA-Diff-Delta-7,MACD,MACD-signal,MACD-Diff,MACD-Diff-Delta-1,MACD-Diff-Delta-3,MACD-Diff-Delta-7,Stochastic-K,Stochastic-D,Stochastic-Diff,Stochastic-K-Delta-1,Stochastic-K-Delta-3,Stochastic-K-Delta-7,Stochastic-D-Delta-1,Stochastic-D-Delta-3,Stochastic-D-Delta-7,Stochastic-Diff-Delta-1,Stochastic-Diff-Delta-3,Stochastic-Diff-Delta-7,Aroon-Positive,Aroon-Negative,ADX,ADX-Delta-1,ADX-Delta-3,ADX-Delta-7,CCI-20,CCI-20-Delta-1,CCI-20-Delta-3,CCI-20-Delta-7,MOM,MOM-Delta-1,MOM-Delta-3,MOM-Delta-7
2014-12-22,254.0,21800,MONDAY,DECEMBER,0.594059405941,1.6,-1.1673151751,4.95867768595,-23.5087719298,7.92079207921,-40.5994550409,56.637617199,1.7690868421,3.21551534373,-9.49013755489,254.166666667,239.67,14.4966666667,-0.04,-0.3,-0.82,254.3,254.680944207,-0.380944206756,0.127077404526,0.134201698445,-2.09619202186,7.64658431849,6.31322504743,1.33335927106,-0.784278564426,-0.969285512229,0.677016133856,50.0,60.6060606061,-10.6060606061,-4.54545454545,6.81818181818,-26.5957446809,2.27272727273,8.62346872985,-16.6650405281,-6.81818181818,-1.80528691167,-9.93070415276,0.0,28.5714285714,22.0141634929,-0.158784885021,-0.574211832175,-4.9897049814,38.5101010101,-23.4634248623,43.8309147816,-61.5585567311,-3.5,1.0,1.0,-13.0
2014-12-23,252.0,16800,TUESDAY,DECEMBER,-0.787401574803,-2.1359223301,-0.787401574803,1.61290322581,-22.9357798165,-34.1176470588,-60.9302325581,53.619633185,-3.01798401402,-9.17903025869,-6.89352032986,254.566666667,240.45,14.1166666667,-0.38,-0.536666666667,-1.49666666667,253.95,254.382839247,-0.432839247416,-0.0518950406599,0.0511163756844,-1.69884362452,6.47287008551,6.50865254987,-0.0357824643586,-1.36914173542,-2.80554378372,-0.874479848046,38.2352941176,47.5935828877,-9.35828877005,-11.7647058824,-39.0374331551,-25.5944931164,-13.0124777184,-10.2884287177,-26.4258121043,1.24777183601,-28.7490044374,0.831318987943,71.4285714286,21.4285714286,21.3987176786,-0.61544581428,-0.819786351703,-4.81993578235,0.658761528327,-37.8513394818,-73.2403442587,-67.0231335647,-3.5,0.0,-6.5,-14.5
2014-12-29,252.5,12600,MONDAY,DECEMBER,0.198412698413,0.0,-0.197628458498,3.90946502058,-25.0,-55.7894736842,-60.8695652174,54.2756041684,0.65597098337,-0.592926188551,-4.44772969528,254.433333333,241.3,13.1333333333,-0.983333333333,-1.40333333333,-2.39666666667,253.4,253.640560579,-0.240560578857,0.192278668558,0.267461032425,-0.757736803124,5.26514790425,6.69897945792,-1.43383155367,-1.39804908931,-3.55146938915,-2.17264472944,41.1764705882,43.137254902,-1.96078431373,2.94117647059,-13.3689839572,-18.3979974969,-4.45632798574,-15.1960784314,-23.5294117647,7.39750445633,1.82709447415,5.13141426783,64.2857142857,14.2857142857,20.8272322796,-0.571485398974,-1.34571609828,-4.66229295465,0.863557858376,0.20479633005,-61.1099680141,-47.0337418318,-5.5,-2.0,-1.0,-16.5
2014-12-30,258.0,49600,TUESDAY,DECEMBER,2.17821782178,1.57480314961,2.58449304175,6.39175257732,293.650793651,127.52293578,65.3333333333,60.8370974743,6.56149330586,4.19948027521,4.79155361739,254.666666667,242.19,12.4766666667,-0.656666666667,-2.02,-2.62666666667,253.5,253.303433897,0.196566103333,0.43712668219,0.577510310089,0.408221014294,4.41007500129,6.80762461975,-2.39754961846,-0.963718064792,-3.73090888952,-3.6695375686,73.5294117647,50.9803921569,22.5490196078,32.3529411765,23.5294117647,20.337922403,7.8431372549,-9.6256684492,-7.88485607009,24.5098039216,33.1550802139,28.2227784731,57.1428571429,7.14285714286,21.1423073229,0.315075043299,-0.871856169956,-3.07895840799,44.7808262378,43.9172683794,6.27072522768,14.733877881,1.0,6.5,4.5,-4.5
2015-01-02,253.0,31500,FRIDAY,JANUARY,-1.93798449612,0.396825396825,1.2,5.63674321503,-36.4919354839,87.5,55.9405940594,53.3429271984,-7.4941702759,-0.276705986662,-0.0791746569597,254.4,242.87,11.53,-0.946666666667,-2.58666666667,-3.26666666667,253.4,253.163902587,0.236097413191,0.039531309858,0.668936660606,0.751243318391,3.00182623779,6.8149508998,-3.81312466201,-1.41557504355,-3.77734219765,-6.1157694453,42.8571428571,52.5210084034,-9.66386554622,-30.6722689076,4.6218487395,-0.324675324675,1.5406162465,4.92742551566,0.538416527152,-32.2128851541,-0.305576776165,-0.863091851828,50.0,100.0,22.0597204663,0.917413143384,0.661002787708,-0.528654858746,62.2317596567,17.4509334189,61.5729981283,67.5525734282,-1.0,-2.0,2.5,3.5
2015-01-05,254.5,10900,MONDAY,JANUARY,0.592885375494,0.792079207921,-1.16504854369,7.38396624473,-65.3968253968,-13.4920634921,-57.2549019608,55.1287136696,1.78578647129,0.853109501254,-7.66994977406,254.2,243.65,10.55,-0.98,-2.58333333333,-4.10333333333,253.55,253.269671531,0.280328468709,0.0442310555179,0.520889047566,0.764284091809,2.06508436397,6.59847894414,-4.53339458017,-0.720269918158,-3.0995630265,-7.30315589953,51.4285714286,55.9383753501,-4.50980392157,8.57142857143,10.2521008403,-25.8441558442,3.41736694678,12.8011204482,-1.94363625528,5.15406162465,-2.54901960784,-23.9005195889,42.8571428571,92.8571428571,22.6509108387,0.591190372355,1.82367855904,0.43240680836,20.2702702703,-41.9614893864,19.4067124119,-53.6288355168,1.5,2.5,7.0,-1.5
2015-01-07,248.5,33000,WEDNESDAY,JANUARY,-2.35756385069,-3.68217054264,-1.58415841584,4.1928721174,202.752293578,-33.4677419355,15.7894736842,47.3258327445,-7.80288092513,-13.5112647297,-7.54269761243,253.733333333,244.2,9.53333333333,-1.01666666667,-2.94333333333,-5.00333333333,253.25,253.304627151,-0.054627151396,-0.334955620105,-0.251193254729,0.453394459886,1.56288178276,6.04131628362,-4.47843450085,0.0549600793138,-2.0808848824,-6.59607233634,17.1428571429,37.1428571429,-20.0,-34.2857142857,-56.3865546218,-37.4025974026,-18.7955182073,-13.837535014,-21.1904761905,-15.4901960784,-42.5490196078,-16.2121212121,35.7142857143,85.7142857143,22.2221962489,-0.428714589793,1.07988892595,0.0492478709698,-126.041666667,-146.311936937,-170.822492904,-188.015192539,-3.0,-4.5,-4.0,1.5
2015-01-08,257.5,21400,THURSDAY,JANUARY,3.62173038229,1.77865612648,1.37795275591,7.96645702306,-35.1515151515,-32.0634920635,-1.83486238532,57.1280863066,9.80225356207,3.78515910822,0.490469107539,253.7,244.87,8.83,-0.703333333333,-2.7,-5.66666666667,254.0,254.125520182,-0.125520182347,-0.0708930309506,-0.361617595537,0.255424024409,1.42986662888,5.23247660814,-3.80260997926,0.675824521598,0.010514682754,-5.13596925032,68.5714285714,45.7142857143,22.8571428571,51.4285714286,25.7142857143,18.5714285714,8.57142857143,-6.80672268908,-14.8917748918,42.8571428571,32.5210084034,33.4632034632,28.5714285714,78.5714285714,22.289614003,0.0674177540843,0.229893536646,0.275450510075,10.0166944908,136.058361157,-52.2150651658,-28.4934065193,7.5,10.5,8.5,11.0
2015-01-09,259.0,27100,FRIDAY,JANUARY,0.582524271845,1.76817288802,2.77777777778,8.82352941176,26.6355140187,148.623853211,61.3095238095,58.5137747906,1.38568848401,3.38506112094,4.89414160557,253.833333333,245.55,8.28333333333,-0.546666666667,-2.26666666667,-5.83333333333,254.15,253.815461722,0.334538278196,0.460058460543,0.0542098094878,0.767377525612,1.36778510397,4.39390645895,-3.02612135498,0.776488624275,1.50727322519,-2.99033889062,77.1428571429,54.2857142857,22.8571428571,8.57142857143,25.7142857143,38.9075630252,8.57142857143,-1.65266106443,6.69213139801,0.0,27.3669467787,32.2154316272,21.4285714286,71.4285714286,22.9061826282,0.616568625272,0.255271789564,1.50746494963,132.593766508,122.577072017,112.323496238,131.93500498,1.5,-6.0,0.0,5.0
2015-01-12,261.5,14800,MONDAY,JANUARY,0.965250965251,5.23138832998,3.56435643564,7.17213114754,-45.3874538745,-55.1515151515,17.4603174603,60.7885529044,2.27477811381,13.4627201599,6.51294873601,254.333333333,246.38,7.95333333333,-0.33,-1.58,-5.18,255.05,254.489097149,0.560902850989,0.226364572793,0.615530002385,0.801463429846,1.76928171215,3.58462888836,-1.81534717621,1.21077417877,2.66308732464,-0.381515622546,91.4285714286,79.0476190476,12.380952381,14.2857142857,74.2857142857,50.2521008403,24.7619047619,41.9047619048,35.9103641457,-10.4761904762,32.380952381,14.3417366947,14.2857142857,64.2857142857,23.6092533336,0.703070705377,1.38705708473,2.78202105398,166.90647482,34.312708312,292.948141487,166.042916962,9.0,7.5,12.0,14.5
2015-01-13,267.5,38000,TUESDAY,JANUARY,2.29445506692,3.88349514563,3.68217054264,8.08080808081,156.756756757,77.5700934579,-23.3870967742,65.6558103613,4.86725745693,8.52772405474,4.81871288707,255.3,247.29,8.01,0.0566666666667,-0.82,-4.46666666667,256.4,255.325140777,1.07485922347,0.513956372481,1.20037940582,0.878293120137,1.03301666037,2.85187530813,-1.81885864776,-0.00351147154414,1.9837513315,0.578690970701,100.0,89.5238095238,10.4761904762,8.57142857143,31.4285714286,26.4705882353,10.4761904762,43.8095238095,38.5434173669,-1.90476190476,-12.380952381,-12.0728291317,7.14285714286,100.0,24.8610973274,1.25184399379,2.57148332444,3.71879000447,257.178526841,90.2720520213,247.161832351,212.397700604,13.5,4.5,6.0,12.5
2015-01-14,265.5,33100,WEDNESDAY,JANUARY,-0.747663551402,2.50965250965,4.94071146245,7.0564516129,-12.8947368421,22.1402214022,5.07936507937,62.8550555411,-2.80075482026,4.34128075048,9.51212834271,256.233333333,248.12,8.11333333333,0.103333333333,-0.17,-3.41666666667,257.75,256.49447361,1.25552638993,0.180667166464,0.920988111737,1.01942897674,0.880217366199,2.24988551831,-1.36966815211,0.449190495644,1.65645320287,2.4434565099,83.3333333333,91.5873015873,-8.25396825397,-16.6666666667,6.19047619048,40.4761904762,2.06349206349,37.3015873016,39.0662931839,-18.7301587302,-31.1111111111,1.40989729225,0.0,100.0,26.1863535553,1.32525622789,3.28017092706,4.12663308898,206.498951782,-50.6795750595,73.9051852738,144.267192125,13.5,0.0,12.0,14.5
2015-01-15,270.5,36700,THURSDAY,JANUARY,1.88323917137,3.44168260038,6.28683693517,10.4081632653,10.8761329305,147.972972973,236.697247706,66.6816315524,3.82657601135,5.89307864802,11.5529178828,257.6,248.95,8.65,0.536666666667,0.696666666667,-1.9,259.55,258.00198761,1.54801238977,0.29248599984,0.987109538785,1.26768392106,0.934431345729,1.73979408477,-0.805362739045,0.564305413068,1.00998443717,3.72803184112,86.5384615385,89.9572649573,-3.4188034188,3.20512820513,-4.89010989011,35.1098901099,-1.63003663004,10.9096459096,34.0188896071,4.83516483516,-15.7997557998,1.09100050277,57.1428571429,100.0,27.9102516681,1.72389811284,4.30099833452,5.25934082946,207.43011459,0.931162808207,40.52363977,187.15984432,18.0,4.5,9.0,16.5
2015-01-16,274.5,42900,FRIDAY,JANUARY,1.47874306839,2.61682242991,10.46277666,10.9090909091,16.89373297,12.8947368421,30.0,69.3976923004,2.71606074797,3.74188193906,22.0718595559,258.733333333,249.81,8.92333333333,0.273333333333,0.913333333333,-0.61,261.2,258.953801109,2.2461988914,0.698186501622,1.17133966793,2.30082604279,1.96973556663,1.50569542173,0.4640401449,1.26940288394,2.28289879266,4.94247464575,91.3793103448,87.0837017389,4.29560860595,4.84084880637,-8.62068965517,74.236453202,-2.87356321839,-2.44010778494,49.940844596,7.71441202476,-6.18058187024,24.295608606,50.0,100.0,29.7704041348,1.86015246663,4.90930680737,7.54820788589,210.377890581,2.94777599076,-46.8006362605,336.419557248,16.5,-1.5,3.0,19.5
2015-01-19,274.5,19800,MONDAY,JANUARY,0.0,3.38983050847,6.60194174757,12.962962963,-53.8461538462,-40.1812688822,-7.47663551402,69.3976923004,0.0,6.54263675931,12.2696059938,260.2,250.61,9.59,0.666666666667,1.47666666667,0.76,263.35,260.893423737,2.45657626298,0.210377371581,1.20104987304,2.58209644532,3.05908990919,1.49483696866,1.56425294053,1.10021279563,2.93392109265,5.36686291979,91.3793103448,89.765694076,1.61361626879,0.0,8.04597701149,22.8078817734,2.68199233716,-1.82160751126,44.0514083618,-2.68199233716,9.86758452276,-21.2435265884,42.8571428571,92.8571428571,31.4976885681,1.7272844333,5.31133501277,9.2080745651,177.376925968,-33.0009646133,-29.1220258143,167.360231477,21.5,5.0,8.0,14.0
2015-01-20,278.0,40300,TUESDAY,JANUARY,1.27504553734,2.77264325323,7.33590733591,14.8760330579,103.535353535,9.80926430518,48.7084870849,71.735826642,2.33813434162,5.05419508958,13.2220518514,261.8,251.47,10.33,0.74,1.68,2.04666666667,265.7,263.000053427,2.69994657251,0.243370309537,1.15193418274,2.36540829432,3.74040831792,1.6251538617,2.11525445623,0.551001515694,2.92061719527,5.14137581121,95.2380952381,92.6655719759,2.57252326218,3.85878489327,8.69963369963,18.0952380952,2.89987789988,2.70830701865,38.3798576902,0.95890699339,5.99132668098,-20.284619595,35.7142857143,100.0,33.4726689362,1.97498036811,5.56241726805,10.5664863079,174.20030618,-3.17661978768,-33.2298084102,41.6065396718,23.5,2.0,5.5,22.0
2015-01-21,276.0,107100,WEDNESDAY,JANUARY,-0.719424460432,0.546448087432,5.54493307839,12.1951219512,165.756823821,149.65034965,623.648648649,68.5144316636,-3.22139497837,-0.883260636756,7.72587875923,263.4,252.29,11.11,0.78,2.18666666667,3.15666666667,268.45,266.29005273,2.15994726988,-0.53999930263,-0.0862516215116,1.5990444189,5.20811771378,1.89299059585,3.31512711793,1.1998726617,2.85108697303,5.13047429414,73.6842105263,86.7672053697,-13.0829948434,-21.5538847118,-17.6950998185,-17.7443609023,-5.89836660617,-0.316496369128,7.71958632213,-15.6555181056,-17.3786034494,-25.4639472244,28.5714285714,100.0,35.7422283155,2.26955937928,5.97182418069,12.1329749818,159.398603392,-14.8017027882,-50.9792871892,-7.50787142838,27.5,4.0,11.0,18.5
2015-01-22,263.5,259600,THURSDAY,JANUARY,-4.52898550725,-4.0072859745,-1.4953271028,3.53634577603,142.390289449,1211.11111111,583.157894737,52.6121730845,-15.9022585791,-16.7855192158,-13.0436372768,264.133333333,252.84,11.2933333333,0.183333333333,1.70333333333,3.28333333333,269.05,267.669080602,1.38091939839,-0.779027871499,-1.07565686459,0.306060174916,6.17343783952,2.27051633981,3.90292149971,0.587794381776,2.33866855917,5.72178014746,40.7894736842,69.9039264829,-29.1144527987,-32.8947368421,-50.5898366606,-59.2105263158,-16.8632788869,-19.8617675932,-19.6198830409,-16.0314579552,-30.7280690675,-39.5906432749,21.4285714286,92.8571428571,34.8136256119,-0.928602703601,3.31593704379,9.95252828446,54.7210300429,-104.677573349,-122.655895925,-202.457496799,6.0,-21.5,-15.5,-7.5
2015-01-23,261.0,68400,FRIDAY,JANUARY,-0.948766603416,-6.11510791367,-1.69491525424,2.55402750491,-73.6517719569,69.7270471464,106.64652568,50.1072631629,-2.50490992161,-21.6285634791,-12.7477923781,264.333333333,253.3,11.0333333333,-0.26,0.703333333333,2.92,269.25,268.803205901,0.446794099081,-0.934125299304,-2.25315247343,-0.808732290852,8.19829745914,2.74875700688,5.44954045226,1.54661895256,3.33428599603,6.81920860437,34.2105263158,49.5614035088,-15.350877193,-6.57894736842,-61.0275689223,-49.1228070175,-20.3425229741,-43.1041684671,-42.0258980785,13.7635756057,-17.9234004552,-7.09690893901,14.2857142857,85.7142857143,33.7812468061,-1.03237880578,0.308577869899,7.59489325078,2.13368649524,-52.5873435477,-172.066619685,-204.365265287,2.0,-4.0,-21.5,-11.5
2015-01-26,263.0,55100,MONDAY,JANUARY,0.766283524904,-4.71014492754,-2.77264325323,2.33463035019,-19.4444444444,-48.5527544351,50.136239782,52.073153975,1.96589081211,-16.4412776886,-14.6084775774,265.0,253.74,11.26,0.226666666667,0.15,2.61,269.4,269.747979122,-0.347979122341,-0.794773221422,-2.50792639223,-1.89599151211,9.11819681209,3.49471335723,5.62348345486,0.1739430026,2.30835633693,6.42884619391,39.4736842105,38.1578947368,1.31578947368,5.26315789474,-34.2105263158,-47.0647773279,-11.4035087719,-48.6093106329,-51.7993702204,16.6666666667,14.3987843171,4.73459289249,7.14285714286,78.5714285714,31.9364519332,-1.84479487292,-3.80577638229,4.02620026503,-15.1515151515,-17.2852016468,-174.550118543,-222.581629742,1.5,-0.5,-26.0,-16.5
2015-01-27,261.5,78100,TUESDAY,JANUARY,-0.570342205323,-0.759013282732,-4.73588342441,1.55339805825,41.7422867514,-69.9152542373,82.0512820513,50.4670418482,-1.60611212684,-2.14513123634,-18.9306504522,265.466666667,254.13,11.3366666667,0.0766666666667,0.0433333333333,2.41333333333,268.8,269.666130475,-0.866130474886,-0.518151352545,-2.24704987327,-3.11232936628,9.692150327,4.406854903,5.285295424,-0.338188030862,1.3823739243,4.8212552791,32.8767123288,35.5203076184,-2.64359528959,-6.59697188176,-7.91276135544,-58.5025980161,-2.63758711848,-34.3836188645,-51.5633941205,-3.95938476328,26.4708575091,-6.93920389555,0.0,71.4285714286,30.7145581371,-1.22189379608,-4.09906747478,0.944154002313,0.792707094728,15.9442222462,-53.9283229482,-209.585183486,-6.0,-7.5,-12.0,-22.5
2015-01-28,268.0,46300,WEDNESDAY,JANUARY,2.48565965583,2.68199233716,-2.3679417122,4.89236790607,-40.7170294494,-32.3099415205,133.838383838,56.6995288472,6.23248699895,6.59226568422,-12.6981634532,266.766666667,254.53,12.2366666667,0.9,1.20333333333,2.64666666667,269.05,270.299909024,-1.24990902374,-0.383778548859,-1.69670312283,-3.70648528672,10.0856605093,5.45494551126,4.63071499803,-0.654580425972,-0.818825454233,3.0664620575,40.9836065574,37.7780010322,3.20560552515,8.10689422861,6.77308024159,-50.3957037875,2.25769341386,-11.7834024765,-51.9876930438,5.84920081475,18.5564827181,1.59198925636,0.0,64.2857142857,29.6998802796,-1.0146778575,-4.0813665265,-1.79780828849,25.4465580836,24.6538509889,23.3128715884,-151.930367884,2.5,8.5,0.5,-19.0
